,PLAYER_ID,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
355,61267_최현정_1992년,투수(좌투좌타),179cm,88kg,0,11두산
356,61268_양현_1992년,투수(우언우타),188cm,70kg,9000만원,11두산
357,61273_박동일_1971년,(우투우타),180cm,93kg,0,11두산코치
358,61284_강흠덕_1958년,(우투우타),170cm,64kg,0,11두산코치
359,61291_황인권_1988년,외야수(우투우타),180cm,86kg,0,0
360,61293_백진우_1988년,외야수(우투우타),182cm,83kg,0,12두산
361,61295_강동연_1992년,투수(우투우타),195cm,94kg,3400만원,12두산
362,61304_정범수_1992년,내야수(우투우타),178cm,79kg,0,0
363,61323_이태양_1993년,투수(우언좌타),183cm,82kg,0,11넥센
364,61329_윤지웅_1988년,투수(좌투좌타),180cm,75kg,0,11넥센
365,61332_알드리지_1979년,외야수(좌투좌타),185cm,102kg,0,0
366,61353_고종욱_1989년,외야수(우투좌타),184cm,83kg,17000만원,11넥센
367,61357_이희성_1988년,투수(좌투좌타),185cm,93kg,0,11넥센
368,61359_조영연_1988년,투수(우투우타),178cm,82kg,0,0
369,61360_김도현_1992년,외야수(우투우타),181cm,98kg,0,11넥센
370,61363_문우람_1992년,외야수(우투좌타),175cm,80kg,0,12넥센
371,61364_김만효_1987년,투수(우투우타),174cm,86kg,0,0
372,61365_김대우_1988년,투수(우언우타),183cm,85kg,11500만원,11넥센
373,61366_홍성갑_1992년,외야수(우투우타),181cm,80kg,0,14넥센
374,61390_조용성_1993년,포수(우투우타),177cm,89kg,0,0
375,61391_김기한_1990년,투수(좌투좌타),176cm,80kg,0,0
